expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,timestamp,vehicle_id,vehicle_number,timestamp_start,timestamp_end,lap_duration,Steering_Angle,Accel_Longitudinal,Accel_Lateral,Throttle,Gear,Engine_RPM,Brake_Front,Brake_Rear,Speed,lap_unix_time,TIME_UTC_SECONDS,AIR_TEMP,TRACK_TEMP,HUMIDITY
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:56.124Z,GR86-006-7,0,2025-10-18 12:46:51.723000+00:00,GR86-006-7,7,2025-10-18 12:44:10.475000+00:00,2025-10-18 12:46:51.723000+00:00,161.248,-6.47485837604532,0.010908011869436202,-0.09936444564337739,70.3352306447262,1.8543296466145132,5093.394878706199,7.243320744537362,7.349827353655247,87.61315789473684,1760791611,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:54.905Z,GR86-010-16,0,2025-10-18 12:46:52.769000+00:00,GR86-010-16,16,2025-10-18 12:44:13.251000+00:00,2025-10-18 12:46:52.769000+00:00,159.518,-5.151109907958852,0.0172265836491608,-0.11165024363833242,56.27048727666486,1.9347590687601517,5007.4844384303115,6.331196534921494,6.435667298321603,88.10106901217863,1760791612,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:54.898Z,GR86-016-55,0,2025-10-18 12:46:53.892000+00:00,GR86-016-55,55,2025-10-18 12:44:16.207000+00:00,2025-10-18 12:46:53.892000+00:00,157.685,-3.7321655172413792,0.018219310344827586,-0.08459144827586207,52.69837517241379,1.6471724137931034,5397.871724137931,6.4935241379310344,6.568703448275862,88.14997241379311,1760791613,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:56.160Z,GR86-022-13,0,2025-10-18 12:46:54.856000+00:00,GR86-022-13,13,2025-10-18 12:44:17.768000+00:00,2025-10-18 12:46:54.856000+00:00,157.088,-2.086316079295154,0.029330947136563878,-0.10816051762114537,46.88633535242291,1.8166299559471366,5220.953168044077,5.291746971365638,5.338469162995595,89.18451169188445,1760791614,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:58.204Z,GR86-002-000,0,2025-10-18 12:46:56.894000+00:00,GR86-002-000,0,2025-10-18 12:44:20.208000+00:00,2025-10-18 12:46:56.894000+00:00,156.686,-3.6602517482517483,0.013533706293706295,-0.10614209790209791,39.058290909090914,1.7552447552447552,5312.13006993007,3.1459412587412587,3.177325874125874,89.07995798319328,1760791616,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:58.184Z,GR86-036-98,0,2025-10-18 12:46:57.960000+00:00,GR86-036-98,98,2025-10-18 12:44:21.491000+00:00,2025-10-18 12:46:57.960000+00:00,156.469,-0.8396069748131747,0.010834763354553004,-0.0973393301965126,37.984068641018546,2.2629393855521727,4717.090152565881,2.483670080265707,2.5368959313589814,89.7178561549101,1760791617,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:58.785Z,GR86-065-5,0,2025-10-18 12:46:58.529000+00:00,GR86-065-5,5,2025-10-18 12:44:23.452000+00:00,2025-10-18 12:46:58.529000+00:00,155.077,-6.933793686583992,0.0011372604284103716,-0.12859611048478017,50.03893461104848,2.282976324689966,4751.849083215797,4.034045941375423,3.9744109357384443,90.53929478138222,1760791618,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.656Z,GR86-015-31,0,2025-10-18 12:46:59.936000+00:00,GR86-015-31,31,2025-10-18 12:45:32.533000+00:00,2025-10-18 12:46:59.936000+00:00,87.403,0.258996023856859,0.015025347912524849,-0.12067594433399603,43.20914512922465,2.2266401590457257,5503.450248756219,4.6225,4.7006486083499,101.42860696517414,1760791619,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.782Z,GR86-060-2,0,2025-10-18 12:46:59.239000+00:00,GR86-060-2,2,2025-10-18 12:44:22.250000+00:00,2025-10-18 12:46:59.239000+00:00,156.989,-1.6943359912015399,0.00317816882045642,-0.1257088259554578,31.677594171020072,1.8559252130877097,5203.148351648351,2.0589730547154246,2.103949683805334,88.99116918844567,1760791619,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.817Z,GR86-049-88,0,2025-10-18 12:47:00.762000+00:00,GR86-049-88,88,2025-10-18 12:44:25.730000+00:00,2025-10-18 12:47:00.762000+00:00,155.032,-2.8025504484304933,0.007396300448430493,-0.12359697309417039,56.25327634529148,1.9150784753363228,5185.587657784011,5.158691143497758,5.2861603139013456,90.76186274509804,1760791620,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.961Z,GR86-063-113,0,2025-10-18 12:47:02.531000+00:00,GR86-063-113,113,2025-10-18 12:44:26.038000+00:00,2025-10-18 12:47:02.531000+00:00,156.493,-5.649208992506245,0.008438245906189286,-0.11257119067443797,51.608057174576736,1.9381071329447683,5104.905686546464,4.823121010269221,4.8864654454621155,89.75929362880886,1760791622,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.974Z,GR86-047-21,0,2025-10-18 12:47:02.089000+00:00,GR86-047-21,21,2025-10-18 12:44:27.045000+00:00,2025-10-18 12:47:02.089000+00:00,155.044,-4.14245810055866,-0.0032092178770949725,-0.13691284916201119,42.33966759776536,2.183519553072626,4857.909090909091,5.626569832402234,5.688995810055866,90.43930167597766,1760791622,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.473Z,GR86-013-80,0,2025-10-18 12:47:03.270000+00:00,GR86-013-80,80,2025-10-18 12:44:28.682000+00:00,2025-10-18 12:47:03.270000+00:00,154.588,-4.142613318410745,0.014220761052042528,-0.11606323447118075,40.507028539451596,2.15976496922216,4922.490196078431,4.278719921656408,4.320548405148293,90.80279720279721,1760791623,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:10.001Z,GR86-038-93,0,2025-10-18 12:47:04.944000+00:00,GR86-038-93,93,2025-10-18 12:44:28.969000+00:00,2025-10-18 12:47:04.944000+00:00,155.975,-6.976521496370743,0.2729718034617532,-0.13867727526521498,48.452878280290335,1.8944723618090453,5135.821478382148,4.985854271356785,5.062949469570073,90.03362622036262,1760791624,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.595Z,GR86-030-18,0,2025-10-18 12:47:05.456000+00:00,GR86-030-18,18,2025-10-18 12:44:31.646000+00:00,2025-10-18 12:47:05.456000+00:00,153.81,-3.5227452085682076,0.0004323562570462224,-0.11424830890642616,33.00632750845547,2.214205186020293,4852.538028169014,3.0493432919954904,3.0773266629086806,91.1085633802817,1760791625,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:10.030Z,GR86-035-11,0,2025-10-18 12:47:06.262000+00:00,GR86-035-11,11,2025-10-18 12:44:33.061000+00:00,2025-10-18 12:47:06.262000+00:00,153.201,-4.756973795435334,-0.0038019160326852636,-0.13990504367427445,31.83440123978586,2.1958298112144266,4888.476056338028,2.325736827275289,2.3615469146238373,91.4292957746479,1760791626,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:10.090Z,GR86-057-57,0,2025-10-18 12:47:09.639000+00:00,GR86-057-57,57,2025-10-18 12:44:35.269000+00:00,2025-10-18 12:47:09.639000+00:00,154.37,-7.28391746749576,0.0010729225551158843,-0.12609383832673826,34.935672696438665,2.5104578858111926,4536.464689265536,1.9486009044657997,2.008319672131148,91.01735875706215,1760791629,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:16.601Z,GR86-021-86,0,2025-10-18 12:47:10.150000+00:00,GR86-021-86,86,2025-10-18 12:44:37.478000+00:00,2025-10-18 12:47:10.150000+00:00,152.672,-6.13921568627451,0.004285024154589372,-0.12220261437908497,34.38142654163115,2.2702472293265132,4818.910384068279,2.4364379084967323,2.48414606422279,91.83571022727273,1760791630,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:16.409Z,GR86-012-8,0,2025-10-18 12:47:11.056000+00:00,GR86-012-8,8,2025-10-18 12:44:39.155000+00:00,2025-10-18 12:47:11.056000+00:00,151.901,-9.476356812933025,-0.004533775981524249,-0.13237500000000002,51.64614030023095,2.1885103926097,4911.0346820809245,2.6512644341801384,2.673734122401848,92.35669552669553,1760791631,,,,
,2,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.458Z,GR86-025-47,0,2025-10-18 12:49:22.153000+00:00,GR86-025-47,47,2025-10-18 12:46:55.204000+00:00,2025-10-18 12:49:22.153000+00:00,146.949,-4.869637061079965,-0.2509448214812629,0.07979817055178517,32.45461788138094,2.025966361758631,5424.141592920354,3.4882502213042197,3.591490115078194,95.5437168141593,1760791762,1760791794.0,16.45,16.9,76.76
,2,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.439Z,GR86-010-16,0,2025-10-18 12:49:22.532000+00:00,GR86-010-16,16,2025-10-18 12:46:52.770000+00:00,2025-10-18 12:49:22.532000+00:00,149.762,-6.074897959183674,0.004755102040816326,-0.09218950437317784,27.251638483965014,2.2909620991253643,5058.604956268222,1.9412915451895043,2.000626822157434,94.40046715328467,1760791762,1760791794.0,16.45,16.9,76.76
,2,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.543Z,GR86-033-46,0,2025-10-18 12:49:22.873000+00:00,GR86-033-46,46,2025-10-18 12:46:56.295000+00:00,2025-10-18 12:49:22.873000+00:00,146.578,-6.667736237856932,0.008101560200176626,-0.06918486900206064,42.03703267589049,1.8092434501030321,5741.269513991164,4.381231969384752,4.529721813364733,96.23871870397645,1760791762,1760791794.0,16.45,16.9,76.76
,2,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.765Z,GR86-022-13,0,2025-10-18 12:49:22.799000+00:00,GR86-022-13,13,2025-10-18 12:46:54.857000+00:00,2025-10-18 12:49:22.795000+00:00,147.938,-2.8386795208881104,0.023372188139059304,-0.09039702015775636,40.626450482033306,2.0128542214431784,5480.516788321168,5.483929301782063,5.52530820917324,95.484,1760791762,1760791794.0,16.45,16.9,76.76
,2,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.626Z,GR86-006-7,0,2025-10-18 12:49:22.444000+00:00,GR86-006-7,7,2025-10-18 12:46:51.724000+00:00,2025-10-18 12:49:22.444000+00:00,150.72,-6.679567723342939,-0.003048414985590779,-0.09457550432276658,39.33962536023055,2.1469740634005765,5162.179856115108,5.195864553314122,5.283023054755043,93.77959654178674,1760791762,1760791794.0,16.45,16.9,76.76
,2,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.426Z,GR86-016-55,0,2025-10-18 12:49:22.596000+00:00,GR86-016-55,55,2025-10-18 12:46:53.893000+00:00,2025-10-18 12:49:22.596000+00:00,148.703,-4.342902757619738,0.008093178519593612,-0.0661300435413643,44.54162844702468,1.8693759071117562,5605.4804063860665,5.229849056603774,5.307706821480406,95.13542028985508,1760791762,1760791794.0,16.45,16.9,76.76
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.717Z,GR86-026-72,0,2025-10-18 12:49:22.474000+00:00,GR86-026-72,72,2025-10-18 12:46:52.349000+00:00,2025-10-18 12:49:22.474000+00:00,150.125,-6.203632664922988,-0.004677128741644871,-0.09179366463237432,40.53557977332171,1.7637314734088927,5682.551673944687,4.311566405114792,4.416563498982854,94.27577648766328,1760791762,1760791794.0,16.45,16.9,76.76
,2,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.503Z,GR86-002-000,0,2025-10-18 12:49:22.967000+00:00,GR86-002-000,0,2025-10-18 12:46:56.895000+00:00,2025-10-18 12:49:22.967000+00:00,146.072,-2.4273615635179153,0.004083802191294049,-0.10862303819958542,47.091702694699435,1.9005034053893988,5672.14962962963,5.084665383476459,5.112688777021025,97.21943786982249,1760791762,1760791794.0,16.45,16.9,76.76
,2,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.731Z,GR86-047-21,0,2025-10-18 12:49:23.650000+00:00,GR86-047-21,21,2025-10-18 12:47:02.090000+00:00,2025-10-18 12:49:23.650000+00:00,141.56,-4.561819858592069,-0.007864432831232709,-0.14260682446972026,39.53036581616969,2.4589609591146635,5139.387096774193,3.9908561328004915,4.051306486320319,99.22457757296466,1760791763,1760791794.0,16.45,16.9,76.76
,2,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.508Z,GR86-013-80,0,2025-10-18 12:49:23.758000+00:00,GR86-013-80,80,2025-10-18 12:47:03.279000+00:00,2025-10-18 12:49:23.758000+00:00,140.479,-4.787410184317401,0.013726647922524211,-0.1369090909090909,39.62671665104654,2.198687910028116,5475.0640625,3.1757888159950016,3.2363230240549825,100.565234375,1760791763,1760791794.0,16.45,16.9,76.76
,2,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.643Z,GR86-040-3,0,2025-10-18 12:49:23.962000+00:00,GR86-040-3,3,2025-10-18 12:47:08.677000+00:00,2025-10-18 12:49:25.040000+00:00,136.363,-4.609905362776026,0.03636293375394322,-0.12820599369085173,48.3097523659306,2.4813880126182966,5262.992113564669,3.856605678233439,3.9336774447949527,102.08906151419559,1760791763,1760791794.0,16.45,16.9,76.76
,2,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.582Z,GR86-065-5,0,2025-10-18 12:49:23.621000+00:00,GR86-065-5,5,2025-10-18 12:46:58.530000+00:00,2025-10-18 12:49:23.621000+00:00,145.091,-6.717914036669672,-0.004068530207394049,-0.11382687105500451,41.37153892395551,2.3748121430718365,5144.945864661654,3.9871776375112713,3.907252780282537,97.44088588588588,1760791763,1760791794.0,16.45,16.9,76.76
,2,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:49:25.772Z,GR86-049-88,0,2025-10-18 12:49:23.530000+00:00,GR86-049-88,88,2025-10-18 12:47:00.763000+00:00,2025-10-18 12:49:23.530000+00:00,142.767,-3.1975030450669917,-0.0008675395858708892,-0.12625213154689405,48.77869062119367,2.1248477466504263,5480.048632218845,5.62341047503045,5.73251065773447,98.833125,1760791763,1760791794.0,16.45,16.9,76.76
